age	c_charge_degree	race	age_cat	sex	priors_count	decile_score	two_year_recid
69	F	Other	Greater than 45	Male	0	1	0
34	F	African-American	25 - 45	Male	0	3	1
24	F	African-American	Less than 25	Male	4	4	1
44	M	Other	25 - 45	Male	0	1	0
41	F	Caucasian	25 - 45	Male	14	6	1
43	F	Other	25 - 45	Male	3	4	0
39	M	Caucasian	25 - 45	Female	0	1	0
27	F	Caucasian	25 - 45	Male	0	4	0
23	M	African-American	Less than 25	Male	3	6	1
37	M	Caucasian	25 - 45	Female	0	1	0
41	F	African-American	25 - 45	Male	0	4	0
47	F	Caucasian	Greater than 45	Female	1	1	1
31	F	African-American	25 - 45	Male	7	3	1
37	M	Hispanic	25 - 45	Male	0	1	0
25	F	African-American	25 - 45	Male	3	10	0
31	F	Caucasian	25 - 45	Male	6	5	1
31	F	Caucasian	25 - 45	Male	5	3	1
64	F	African-American	Greater than 45	Male	13	6	1
21	F	African-American	Less than 25	Male	1	9	1
27	M	Caucasian	25 - 45	Male	0	2	1
21	F	Caucasian	Less than 25	Female	0	4	0
24	F	Hispanic	Less than 25	Male	1	4	1
43	M	Caucasian	25 - 45	Male	1	1	0
32	M	Other	25 - 45	Male	0	3	0
27	F	African-American	25 - 45	Male	8	3	1
26	F	African-American	25 - 45	Male	5	7	1
33	F	African-American	25 - 45	Male	0	10	1
30	F	Caucasian	25 - 45	Male	9	9	1
32	F	African-American	25 - 45	Male	4	8	1
55	F	Caucasian	Greater than 45	Male	0	1	0
49	F	Other	Greater than 45	Male	7	3	1
33	M	Caucasian	25 - 45	Female	4	5	1
24	M	Caucasian	Less than 25	Male	1	2	1
34	F	African-American	25 - 45	Male	21	9	1
29	M	Caucasian	25 - 45	Male	0	2	0
21	F	African-American	Less than 25	Female	2	8	0
51	M	African-American	Greater than 45	Male	2	1	0
29	M	Caucasian	25 - 45	Male	2	2	1
51	F	African-American	Greater than 45	Female	7	2	0
29	F	African-American	25 - 45	Male	0	7	1
25	M	Caucasian	25 - 45	Male	9	10	1
35	F	African-American	25 - 45	Male	13	8	1
49	M	Caucasian	Greater than 45	Male	0	1	0
29	F	African-American	25 - 45	Male	0	4	0
29	F	Caucasian	25 - 45	Male	1	2	1
28	F	Other	25 - 45	Female	0	2	0
31	F	African-American	25 - 45	Male	15	5	0
24	F	African-American	Less than 25	Male	2	4	1
30	M	Hispanic	25 - 45	Male	0	7	0
49	M	African-American	Greater than 45	Male	4	1	0
53	F	Caucasian	Greater than 45	Male	8	5	0
35	F	African-American	25 - 45	Male	5	3	0
27	F	African-American	25 - 45	Male	15	10	1
38	M	Caucasian	25 - 45	Male	4	2	1
22	F	African-American	Less than 25	Male	1	4	1
